,title,marque,image_principale,sku,description,prix,category,images,uniq_id,expiration
34,Annie's Organic Cinnamon Rolls with Icing - 17.5oz/5ct,Annie's,https://target.scene7.com/is/image/Target/GUEST_100b7f65-20e8-4334-b1ba-f3ab2a5c9137,51021939,"Sweeten up your morning with Annie’s Organic Cinnamon Rolls! Made with the goodness of Annie’s, our yummy cinnamon rolls are made with high-quality ingredients and no artificial flavors, hydrogenated oils or high-fructose corn syrup. Even sweeter, our ready-to-bake cinnamon rolls come with a side of old-fashioned icing for swirled-on deliciousness. Simply place flat on a cookie sheet and bake at 350 degrees for 18-20 minutes. Then, slather your cinnamon rolls in creamy icing and prepare to devour. Head over to the refrigerated dough aisle and grab a can of five organic cinnamon rolls!

Annie's makes products in over 20 family-friendly categories — from fruit-flavored snacks and cereal to mac & cheese. For busy bunnies and families on the go, we help make life a little easier and more delicious by sweetening-up packed lunches or by adding to a savory, yummy dinner. Annie’s is devoted to spreading goodness through nourishing, tasty foods and kindness to the planet.",5.59,Dairy,"['https://target.scene7.com/is/image/Target/GUEST_100b7f65-20e8-4334-b1ba-f3ab2a5c9137 ', ' https://target.scene7.com/is/image/Target/GUEST_5858c2c3-a43f-4c71-b462-3c9789777222 ', ' https://target.scene7.com/is/image/Target/GUEST_bb7313bc-ef01-4551-b724-f405ffbf22ec ', ' https://target.scene7.com/is/image/Target/GUEST_8c5a3b7a-777b-42d5-9495-1b98b32c7f0c ', ' https://target.scene7.com/is/image/Target/GUEST_7b71412d-ad43-47de-9c7c-39ea5bc0e7ab ', ' https://target.scene7.com/is/image/Target/GUEST_bb7313bc-ef01-4551-b724-f405ffbf22ec']",ea548645-f376-54bf-ba90-d98bd1eaad28,2022-06-12
35,Knorr Pasta Sides Fusili with Cheddar Broccoli - 4.3oz,Knorr,https://target.scene7.com/is/image/Target/GUEST_06be3fc7-bfa2-49c1-9fc8-0643ce5ffa4b,12935696,"Treat your taste buds to Knorr Pasta Side's Cheddar Broccoli Fusilli Pasta. Our pasta side dish expertly combines broccoli florets and fusilli pasta with a creamy, cheddar cheese sauce; your family is sure to love the flavor of our easy pasta dishes. On top of tasting delicious, our Cheddar Broccoli pasta is quick and easy to prepare. Knorr pasta side dishes cook in just 10 minutes on the stovetop or in the microwave, and they’re perfect as the base for a delicious main dish or as a standalone rice side dish. Make Knorr Pasta Sides the foundation of a crowd-pleasing dinner or an easy meal.<br /><br />Knorr Pasta Sides have no artificial flavors or preservatives, and no added MSG, except those naturally occurring glutamates. Use these easy pasta side dishes to create a mouthwatering main dish. Simply prepare Knorr Pasta Sides and add your favorite meat and vegetables to make a dinner your family is sure to love. You can find great recipes from Knorr, like our chef-inspired Chicken & Garden Vegetables.<br /> <br />Discover more quick and delicious dinner ideas at Knorr.com. Hundreds of recipes are available to help you find dinner inspiration. We at Knorr believe that good food matters, and everyday meals can be just as magical as special occasions. Our products owe their taste and flavors to the culinary skills and passion of our chefs, and we source high-quality ingredients to create delicious side dishes, bouillons, sauces, gravies, soups, and seasonings enjoyed by families everywhere.",1.39,Pantry,"['https://target.scene7.com/is/image/Target/GUEST_06be3fc7-bfa2-49c1-9fc8-0643ce5ffa4b ', ' https://target.scene7.com/is/image/Target/GUEST_2e20c1a4-5638-4d51-9c66-6f0ae13a4b06 ', ' https://target.scene7.com/is/image/Target/GUEST_c27fc8fc-0de1-4330-b1aa-b3d664ea5266 ', ' https://target.scene7.com/is/image/Target/GUEST_6485bac0-81cb-4922-bd8d-a634e73ab916 ', ' https://target.scene7.com/is/image/Target/GUEST_cef77fe1-9397-4500-bfb6-303b56bb6cfc ', ' https://target.scene7.com/is/image/Target/GUEST_c27fc8fc-0de1-4330-b1aa-b3d664ea5266']",78795ce7-79c4-507c-ba9a-7861751d62a7,2022-06-12
36,Shaved Parmesan Cheese Cup - 5oz - Good & Gather™,Good & Gather,https://target.scene7.com/is/image/Target/GUEST_abdc1f0b-b640-4f8f-a0aa-fa7f015997bb,54589394,"Put an elegant finishing touch on any dish while adding a hint of extra flavor with the Shaved Parmesan Cheese from Good & Gather™. Featuring the hard texture and subtle, nutty flavor you expect from high-quality Parmesan, this shaved cheese is aged for 10 months to achieve its distinctive flavor, and the five-ounce package is the ideal size for keeping on hand. Use it to add a perky finishing touch to your lasagna or to add a little extra flavor and flourish to dinner salads, or simply add it to a cheese board and serve with fruit, preserves and water crackers for a mouthwatering appetizer choice that's sure to please. <br /><br />Every product that carries the Good & Gather name starts with quality ingredients that deliver great taste, making it easier for you and your family to eat well, every day. We promise you'll love each bite, or your money back.",3.99,Deli,"['https://target.scene7.com/is/image/Target/GUEST_abdc1f0b-b640-4f8f-a0aa-fa7f015997bb ', ' https://target.scene7.com/is/image/Target/GUEST_6c15c839-df86-4d00-bdb3-4e0e5c7f02ff ', ' https://target.scene7.com/is/image/Target/GUEST_df6d15a3-4ebe-4634-b638-2e6fc3efc59a ', ' https://target.scene7.com/is/image/Target/GUEST_bb3d12e4-0846-46d0-ab04-d0793486fe62 ', ' https://target.scene7.com/is/image/Target/GUEST_df6d15a3-4ebe-4634-b638-2e6fc3efc59a']",4cd4b714-51db-528d-9cf6-0018aa57159c,2022-06-12
37,Idahoan Gluten Free Baby Reds Mashed Potatoes - 4oz,Idahoan,https://target.scene7.com/is/image/Target/GUEST_251ab437-9c2b-4317-8dea-3378683477cd,14773141,"Whip up delicious, rich mashed potatoes in minutes with Idahoan Baby Reds Mashed Potatoes! Our instant mashed potatoes are always made with 100-Percent Real Idaho potatoes. Perfect for a variety of wholesome recipes, Idahoan Baby Reds Mashed Potatoes are easy to prepare and ready in minutes. Simply heat water on stovetop or in a microwave, add the entire pouch of mashed potatoes, and voilà! Each order includes 1 (4.1oz) pouch with 4 (1/2 cup) servings. Our mission of innovation will continue to bring you quality 100-percent REAL Idaho potatoes in all the ways you love.  Whether it’s quality mashed potatoes, soups, casseroles or hash browns, in a pouch, bowl, cup or more, Idahoan Foods will continue to bring you Homemade Taste—Every Time",1.19,Pantry,"['https://target.scene7.com/is/image/Target/GUEST_251ab437-9c2b-4317-8dea-3378683477cd ', ' https://target.scene7.com/is/image/Target/GUEST_98adb85d-c7d9-47b0-94ec-ae0c9ea60145 ', ' https://target.scene7.com/is/image/Target/GUEST_c3ed1c03-904f-4257-90ae-fbd6822036c3']",3678cc68-3595-5053-b0ec-429490a695b1,2022-06-12
38,Absolut Lime & Cucumber Sparkling Vodka Soda - 4pk/355ml Cans,Absolut,https://target.scene7.com/is/image/Target/GUEST_eace27cd-9e10-468d-823c-5692c27f2d11,79341660,"A high quality – low calorie drink, ready to be enjoyed with just the flick of the wrist. Inspired by the iconic, go-to drink but with an added twist, our Absolut Vodka Sodas are your perfectly balanced premix made perfect for any occasion, free from any artificial ingredients and full of natural flavors. With Absolut Vodka and the taste of either Raspberry & Lemongrass, Lime & Cucumber or Grapefruit & Rosemary, the question is not whether you have found your favorite drink for the summer, but which one is your pick.",12.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_eace27cd-9e10-468d-823c-5692c27f2d11 ', ' https://target.scene7.com/is/image/Target/GUEST_d344b9d0-ae55-4990-8917-29eb2148e38e ', ' https://target.scene7.com/is/image/Target/GUEST_3268e8a8-e82b-4a68-af58-5b6a52340321']",0b8209e3-a97b-560d-84b6-54b391682745,2022-06-12
39,Bota Box Sauvignon Blanc White Wine - 3L Box,Bota Box,https://target.scene7.com/is/image/Target/GUEST_feb81859-7663-4f76-8d60-375162cb2d49,80279643,"Bota Box wines are always ready for an adventure. Packaged using sustainable materials and a resealable spout that keeps light and air out, you can enjoy quality wines anywhere, anytime for up to 30 days after opening. So whether your plans include a weekend camping trip or a movie night in with your dog, the full-bodied flavor of Bota Box white wine pairs perfectly with all of life’s adventures.",18.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_feb81859-7663-4f76-8d60-375162cb2d49 ', ' https://target.scene7.com/is/image/Target/GUEST_303a8c12-7531-47b1-bb7e-bd4b02d9abb2 ', ' https://target.scene7.com/is/image/Target/GUEST_eb20631c-deee-46df-a3ea-27afe873a7ab ', ' https://target.scene7.com/is/image/Target/GUEST_031b173c-c5a8-4094-878f-5d4ab5805a4b ', ' https://target.scene7.com/is/image/Target/GUEST_41c055b8-4ac4-4e30-a314-9268a1ff9985 ', ' https://target.scene7.com/is/image/Target/GUEST_eb20631c-deee-46df-a3ea-27afe873a7ab']",90ddf902-2fe7-5c08-b4bf-a6990449516b,2022-06-12
40,Tootsie Fruit Chews Standup Bag – 37oz,Tootsie,https://target.scene7.com/is/image/Target/GUEST_9cd539e1-ed8b-4268-9362-7a88e07e4c70,81643146,"Offering the same look and chew as the original Tootsie Roll in fruit-flavored varieties, Tootsie Fruit Chews are equally tasty candy treats. The individally wrapped, bite-sized treats are available in five great tasting flavors: Cherry, Lemon, Vanilla, Orange, and Lime. Pefect for parties, holidays, parades, or for keeping for yourself. Peanut free and Gluten free.",6.99,Candy,"['https://target.scene7.com/is/image/Target/GUEST_9cd539e1-ed8b-4268-9362-7a88e07e4c70 ', ' https://target.scene7.com/is/image/Target/GUEST_d4129f35-54d3-4b0b-9556-21ea01ed97f1 ', ' https://target.scene7.com/is/image/Target/GUEST_656a714d-0890-4baa-a55f-457dd637328a ', ' https://target.scene7.com/is/image/Target/GUEST_56840534-a214-49d9-984f-4592764bd5a8 ', ' https://target.scene7.com/is/image/Target/GUEST_e0ab53b0-7382-4005-af37-23c7690c2275']",e44fb6d4-4800-5b0d-99c2-0ecfe8e22f60,2022-06-12
41,The Original Donut Shop Regular Keurig K-Cup Coffee Pods - Medium Roast - 24ct,The Original Donut Shop,https://target.scene7.com/is/image/Target/GUEST_e575561f-cbf9-4453-836e-5dff7a955ef5,79582438,"Before coffee was complicated, great coffee was simply fresh, bold, and flavorful. The Original Donut Shop Regular single serve K-Cup pods bring back the classic donut companion, with this ideally balanced brew of the highest quality beans...dunking is encouraged. Full-flavored and easy going, this medium roast blend embodies one of the best things in life - simply great coffee. These single-serve K-Cup pods are compatible with all Keurig K-Cup Pod Single-Serve Coffee Makers and brew up to 12 oz. of The Original Donut Shop Regular coffee each. Each K-Cup pod is filled with the freshest ground coffee and brews a perfect, great tasting cup of coffee, every time. Certified Orthodox Union Kosher and contains no artificial ingredients. Introducing Recyclable* K-Cup Pods: Simple. Delicious. And now Recyclable. Enjoy the same great-tasting coffee you know and love, and when you’re done just peel, empty and recycle. *Check locally, not recycled in all communities. Packaging may vary.",14.99,Beverages,"['https://target.scene7.com/is/image/Target/GUEST_e575561f-cbf9-4453-836e-5dff7a955ef5 ', ' https://target.scene7.com/is/image/Target/GUEST_a88dd428-411d-4fec-9ce8-a0284ae33978 ', ' https://target.scene7.com/is/image/Target/GUEST_ff50e51c-c5a4-42d8-9cbc-5d04f09df779 ', ' https://target.scene7.com/is/image/Target/GUEST_08fb5c4a-bce7-46d5-b099-9bfea05e5d55 ', ' https://target.scene7.com/is/image/Target/GUEST_d9b627b8-4198-4e42-b8d5-5caddd3596cb ', ' https://target.scene7.com/is/image/Target/GUEST_ff50e51c-c5a4-42d8-9cbc-5d04f09df779']",cd1bc348-4a99-5f4b-8122-119ced4a2d17,2022-06-12
42,Tapatio Pollo Asado Marinade - 8oz,Tapatio,https://target.scene7.com/is/image/Target/GUEST_65556dfc-1f36-42e1-b209-b2083e1ad79e,82319200,"Preparing authentic Mexican favorite Pollo Asado has never been easier.  TAPATIO's convenient ready-to-use 8oz pouch provides enough marinade for about 2 pounds of chicken.  Use citrus flavored Pollo Asado marinade, made with authentic TAPATIO salsa picante as the star ingredient, for the most flavorful, mouth watering  chicken.  Make every day a fiesta.",2.59,Pantry,"['https://target.scene7.com/is/image/Target/GUEST_65556dfc-1f36-42e1-b209-b2083e1ad79e ', ' https://target.scene7.com/is/image/Target/GUEST_52143dff-5a3e-4a62-80ec-f72483dab4ff ', ' https://target.scene7.com/is/image/Target/GUEST_1e97b0c3-83a0-47eb-b2f7-cd49fb5a56ec ', ' https://target.scene7.com/is/image/Target/GUEST_146f5cc6-6569-49d8-9a76-df572484438e']",d7a2d44b-31a1-5e11-9ccf-c6a97b1c91d4,2022-06-12
43,La Banderita Carb Counter Keto Friendly White Tortilla Wraps - 11.9oz/8ct,La Banderita,https://target.scene7.com/is/image/Target/GUEST_603e2b66-4dca-4ab7-bdc6-63841ffe821d,79628828,"La Banderita Carb Counter Tortillas are a great choice for a healthier lifestyle. You get only 4g of net carbs, 5g of protein, and 11g of fiber per serving, with only 45 calories! And they are perfect for a Keto Diet! Our delicious Low Carb Tortillas have no added sugars and they are cholesterol free.<br /><br />Taste the tradition!<br /><br />Kosher Parve ═ Certified",3.59,Bakery & Bread,"['https://target.scene7.com/is/image/Target/GUEST_603e2b66-4dca-4ab7-bdc6-63841ffe821d ', ' https://target.scene7.com/is/image/Target/GUEST_29a64d81-f4ff-4258-9a55-07de383f7380 ', ' https://target.scene7.com/is/image/Target/GUEST_38b99ed7-b320-4f2d-97a8-c6a987796bf2 ', ' https://target.scene7.com/is/image/Target/GUEST_d4a12910-0393-4f4b-b7ad-6748e3b9b482']",e9943d88-72ab-5e86-a2bf-8d5970752f58,2022-06-12
46,Espolòn Tequila Blanco - 750ml Bottle,Espolon,https://target.scene7.com/is/image/Target/GUEST_8b32cb3b-8b14-4f39-8715-72231c9b8e7f,50662827,"Inspired by and a tribute to Mexican culture, Espolòn tequila is named for the spur of the iconic rooster, a historic symbol of strength nobility and national pride. Espolon was established in 1998 as a tequila for the people.  Unaged, Espolon Blanco is the purest expression of Espolòn tequila.",24.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_8b32cb3b-8b14-4f39-8715-72231c9b8e7f ', ' https://target.scene7.com/is/image/Target/GUEST_ac163f74-4f47-46aa-9412-828d9ec23847 ', ' https://target.scene7.com/is/image/Target/GUEST_1fd67892-3510-443f-9ebe-8b3e30559372 ', ' https://target.scene7.com/is/image/Target/GUEST_b17cfa53-00a2-496c-a37f-6cd937aa185d']",3538bd11-b8d9-5de1-a090-70705bf6d88c,2022-06-12
47,Yogi Tea - Honey Chai Turmeric Vitality Tea - 16ct,Yogi,https://target.scene7.com/is/image/Target/GUEST_c8492955-97c4-4366-885f-fe084ca866ab,53520289,"Yogi Honey Chai Turmeric Vitality tea is an intriguing Chai tea blend that combines Turmeric, traditionally used in Ayurveda for its abundant health-promoting qualities, with naturally sweet Organic Honey Flavor and rich, warming spices including Cinnamon, Cardamom, Ginger, and Clove. Enjoy deliciously spicy-sweet Yogi Honey Chai Turmeric Vitality tea throughout the day to support your overall health and well-being.*<br /><br />BREWING SUGGESTIONS: To get the most out of every cup, bring water to boiling and steep 7 minutes. For a stronger tea, use 2 tea bags. Add your favorite sweetener and milk or milk substitute.<br /><br />FDA Statement: *These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease.<br /><br />Consult your healthcare provider prior to use if you are pregnant or nursing.<br />",4.29,Beverages,"['https://target.scene7.com/is/image/Target/GUEST_c8492955-97c4-4366-885f-fe084ca866ab ', ' https://target.scene7.com/is/image/Target/GUEST_225c2e09-c6e4-4cc7-8af0-6b58f4ec4ada ', ' https://target.scene7.com/is/image/Target/GUEST_501a7784-ff4d-46b8-805c-925b3d8098f3 ', ' https://target.scene7.com/is/image/Target/GUEST_a19ea2e5-2ce3-45e8-97ad-fa099273c4de ', ' https://target.scene7.com/is/image/Target/GUEST_631143b3-4fa4-4db2-bcf2-0b5235c084c4 ', ' https://target.scene7.com/is/image/Target/GUEST_501a7784-ff4d-46b8-805c-925b3d8098f3']",805226d6-a801-54df-bfa0-9631eacf3534,2022-06-12
48,Healthy Choice Café Steamers Frozen Chicken Margherita - 9.5oz,Healthy Choice,https://target.scene7.com/is/image/Target/GUEST_3b2887f0-c710-4ed7-bd9c-d75756d0ebc6,12935678,"Healthy Choice Café Steamers Chicken Margherita With Balsamic Frozen Meal satisfies your cravings with quality ingredients. Savor a quick and delicious microwaveable meal featuring true steaming technology anytime. This dish combines juicy white meat chicken, al dente angel hair pasta, roasted garlic and tomatoes tossed in a balsamic vinaigrette sauce for a meal that's as delicious as it is healthy. Made with no preservatives, this wholesome, microwave-ready meal delivers a bold experience any day of the week. Perfect for an on-the-go power lunch or a quick and delicious dinner at home after a long day, this single-serve meal contains 270 calories, 0 grams of trans fat and 17 grams of protein to keep you satisfied. Healthy Choice makes it easy to eat mindfully with bold, flavorful meals made with high-quality ingredients and contemporary recipes that are easy to prepare. Stock your freezer with a variety of Healthy Choice Café Steamers to keep healthy, wholesome meals on hand.",3.49,Frozen Foods,"['https://target.scene7.com/is/image/Target/GUEST_3b2887f0-c710-4ed7-bd9c-d75756d0ebc6 ', ' https://target.scene7.com/is/image/Target/GUEST_03363998-867a-4d3c-aea4-55eeae3ecacb ', ' https://target.scene7.com/is/image/Target/GUEST_a1cc16cc-555a-4555-a062-f1c005f5c6be']",ff0829bd-8d02-56d5-b32d-441881c13712,2022-06-12
49,Vita Coco Original Coconut Water - 4pk/500ml Cartons,Vita Coco,https://target.scene7.com/is/image/Target/GUEST_14b5e172-fb90-43d4-92b4-17355c4e7f8c,53186912,"Full of nutrients, electrolytes, and vitamins that give you a boost, which makes it great for a lot of situations, like when you're thirsty and, well... mostly when you're thirsty.",8.29,Beverages,"['https://target.scene7.com/is/image/Target/GUEST_14b5e172-fb90-43d4-92b4-17355c4e7f8c ', ' https://target.scene7.com/is/image/Target/GUEST_ff340648-ff46-4498-b9e3-b984b0a60ab6 ', ' https://target.scene7.com/is/image/Target/GUEST_4e2b75af-e38e-4169-bdff-a9404bc5e1ed']",b7b87b9c-f274-5ffa-8957-4de413efb8a8,2022-06-12
50,Grand Marnier Orange Liqueur - 750ml Bottle,Grand Marnier,https://target.scene7.com/is/image/Target/GUEST_5d5c14cd-d8db-4838-a7d6-6563461a40da,47137257,"Mix up a classic cocktail with Grand Marnier Cordon Rouge, Grand Marnier's signature expression. Created in 1880 by Louis-Alexandre Marnier Lapostolle, Grand Marnier offers a premium blend of cognacs with wild tropical oranges from the Caribbean. Grand Marnier Cordon Rouge balances the flavors of bitter orange with cognac notes of hazelnuts and toffee before reaching a long, harmonious finish. Enjoy this cognac and orange liqueur on the rocks, or mix into your favorite cocktails to elevate them from good to Grand. Use the cognac for a sophisticated twist on a Margarita, Old Fashioned or a Sidecar.  This award-winning orange liqueur is closed in the iconic, highly recognizable bottle with the wax seal. It is distinguished by the red ribbon, a symbol of its quality. The 750ml ml bottle of Grand Marnier Cordon Rouge liquor has a 40% alcohol by volume and should be enjoyed responsibly. Grand Marnier is the result of a time-honored tradition of master blenders that skillfully and carefully have passed their savoir faire onto one another since 1880. The result is an extraordinary alchemy of passion, audacity and tradition. Live Grand.",39.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_5d5c14cd-d8db-4838-a7d6-6563461a40da ', ' https://target.scene7.com/is/image/Target/GUEST_2e23879a-88ef-4a7a-85c2-350a2077c3bc ', ' https://target.scene7.com/is/image/Target/GUEST_f2bd51a9-0299-4f71-9ac4-721e3527061e ', ' https://target.scene7.com/is/image/Target/GUEST_d580e3ca-4a66-4040-84e2-e59d0ff7ff4f ', ' https://target.scene7.com/is/image/Target/GUEST_a53c0fcd-0d88-48c6-a687-950b39c9187c']",9ea0b0e1-3a52-50e6-88a0-6cb33e746898,2022-06-12
51,Jelly Belly 49 Flavor Jelly Beans - 2lbs,Jelly Belly,https://target.scene7.com/is/image/Target/GUEST_d2d62483-66b4-4b81-b894-d3488c740c6f,12959332,"Jelly Belly makes more jelly bean flavors than anyone on the market today, and here are just a few of them - 49 to be exact! This plentiful assortment has the delicious flavors you love, and new favorites to discover. From most popular to nostalgic to unexpectedly delightful, this wide variety has something for everyone to enjoy. Snack, share, or pack into party favors. This generous bag is a great choice for so many occasions. <br /><br />True-to-life flavors in this assortment include: A&W cream soda, A&W root beer, Berry Blue, blueberry, bubble gum, buttered popcorn, cantaloupe, cappuccino, caramel corn, chocolate pudding, cinnamon, coconut, cotton candy, crushed pineapple, Dr Pepper, French vanilla, green apple, island punch, Juicy Pear, kiwi, lemon drop, lemon lime, Sunkist lemon, licorice, Sunkist lime, mango, margarita, mixed berry smoothie, orange sherbet, Sunkist orange, peach, Sunkist pink grapefruit, piña colada, plum, pomegranate, raspberry, red apple, Sizzling Cinnamon, strawberry cheesecake, Sunkist tangerine, toasted marshmallow, top banana, tutti-fruitti, Very Cherry, and watermelon.<br /><br />For generations, Jelly Belly fans have thoughtfully combined Jelly Belly jelly bean flavors to make new tastes. These Jelly Belly recipes are favorites among candy lovers with combinations like 2 A&W root beer + 1 A&W cream soda = root beer float, 2 blueberry + 1 buttered popcorn = blueberry muffin, and 2 green apple + 1 cinnamon = candy apple. Try your own combinations!<br /><br />Jelly Belly jelly beans are famous for their wide range of delicious and true-to-life flavors. With flavor packed into the center as well as the irresistible outer shell, each bite is an intense flavor adventure. The company got its start in 1898, and today makes more than 100 flavors of jelly beans worldwide. Jelly Belly jelly beans have millions of fans around the world with a flavor for everyone. Discover your new favorite flavor.<br /><br />",12.69,Candy,"['https://target.scene7.com/is/image/Target/GUEST_d2d62483-66b4-4b81-b894-d3488c740c6f ', ' https://target.scene7.com/is/image/Target/GUEST_358af9f2-cbf9-4ee8-9789-974a906d02f2 ', ' https://target.scene7.com/is/image/Target/GUEST_f9ba3d77-a42f-413b-b9e0-f2d847de5b8b ', ' https://target.scene7.com/is/image/Target/GUEST_55c6aea9-51e2-48da-b0f0-bec53a552b9c']",e5e29cd7-e1b8-55ce-a4d6-55d4572aa392,2022-06-12
52,Gatorade Cool Blue Sports Drink - 12pk/12 fl oz Bottles,Gatorade,https://target.scene7.com/is/image/Target/GUEST_2f923797-f4a3-454c-b69d-3e342d03dbbc,14756734,"The proven classic. With a legacy of over 50 years in the making, it's the most scientifically researched and game-tested way to replace electrolytes lost in sweat. Gatorade Thirst Quencher is specifically made to help keep you hydrated, which is why it's trusted by some of the world's best athletes.",6.69,Beverages,"['https://target.scene7.com/is/image/Target/GUEST_2f923797-f4a3-454c-b69d-3e342d03dbbc ', ' https://target.scene7.com/is/image/Target/GUEST_8c599bbe-b917-49b2-98f5-39a7a0208844 ', ' https://target.scene7.com/is/image/Target/5b743a360f13460001d5f02e ', ' https://target.scene7.com/is/image/Target/GUEST_a4bca240-6c4c-4cc4-8aa6-0187f3937cd4 ', ' https://target.scene7.com/is/image/Target/GUEST_691cebf9-4750-435c-ac79-b7c581dbc2ee ', ' https://target.scene7.com/is/image/Target/5b743a360f13460001d5f02e']",71d54a85-509b-5227-b6fc-af231e13637a,2022-06-12
53,Smucker's Simply Apricot Spread - 10oz,Smucker's,https://target.scene7.com/is/image/Target/GUEST_fc6cefaf-f9d3-4cf9-a81b-211a09110e02,13275915,"This delicious spread captures the essence of the apricot: nectarous, with a touch of tartness. Our Simply Fruit Apricot Speadable Fruit pairs well with Swiss cheese and is perfect for sweetening rice and couscous dishes. Sweetened with ingredients made from real fruit. With a name like Smucker's, it has to be good!",3.49,Pantry,"['https://target.scene7.com/is/image/Target/GUEST_fc6cefaf-f9d3-4cf9-a81b-211a09110e02 ', ' https://target.scene7.com/is/image/Target/GUEST_ac6360d6-38fe-412e-870d-22ba70722948 ', ' https://target.scene7.com/is/image/Target/GUEST_10d85183-0a45-4245-8b99-c94f0db06b43 ', ' https://target.scene7.com/is/image/Target/GUEST_5c8aa602-47c4-46ef-b5b4-98f3eeb3fba6 ', ' https://target.scene7.com/is/image/Target/GUEST_10d85183-0a45-4245-8b99-c94f0db06b43']",e4b97a8b-8b37-5c6a-a2dd-332202cb9d3e,2022-06-12
